OBJECTID *,Shape *,RevDate,SourceAgency,DataSource,HztlAccuracy,GNIS_Name,GlobalID *,Shape_Length,Shape_Area,Lat,Long
4800,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{D8D69CA5-A30E-466D-BCAA-03C33B1279E5},1702.355664,134274.9188,937545.8268,1462813.231
4801,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{0EB86DC1-4DF5-4BFD-8D66-51764C46918A},125.747331,317.4488,937781.6276,1487764.092
4802,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{3213E8A6-2EE4-4D1A-AB7B-482CFE1D161C},33.261838,4.372922,938062.1507,1487489.339
4803,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{35E2060A-AEAE-4106-A75A-B507D0CA6E07},1329.128558,63661.21394,939808.3154,1450259.511
4804,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{E81B3FFB-9EE3-43FA-A8B7-FB3B3302ABB1},9172.924878,1052235.225,939312.748,1463004.033
4805,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{1B4F8D6E-A1BE-446D-BB6E-F5E1B1A589F9},2706.22849,203049.325,941503.2216,1478529.43
4806,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{C556CE6A-0CC8-46D4-B510-F410A18B7F50},29481.82728,4479413.371,942293.6981,1462734.152
4807,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{5EB3F43C-F351-469B-9C47-445004EAB6AA},17074.02503,1353232.541,943458.6971,1470910.929
4808,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{0956B1F6-0892-4829-AABF-E4AD4C2BFD63},4820.020305,311548.4241,945173.9205,1463000.672
4809,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{81113FB8-87FE-4210-8618-3ED77FA565D0},12025.75222,1006803.051,944691.5564,1451765.8
4810,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{9C75A6B7-3225-464D-B918-A6C884A2F265},1346.738749,67467.7512,946229.8953,1452424.403
4811,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{B1CBFC38-1E93-4451-A8A2-714DAC520F38},138.373333,565.793771,947582.4732,1443951.108
4812,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{4300053F-99B6-4678-A113-C1CB2C6CB22C},3474.985065,349257.4301,947895.2469,1472506.967
4813,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{BF592266-790F-4941-9F15-FA9B8DE578C1},421.276172,1310.982061,948570.4344,1444056.074
4814,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{5C20706E-F471-4036-94E4-CDD1AE4A8138},209.618311,1614.286365,948779.3865,1444326.961
4815,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{648D37E1-C8CC-4BBA-9DB7-146AC5319252},1305.421771,91246.28418,948828.3348,1445254.36
4816,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{8A547A71-E1A1-492B-9115-10A0BD04B537},2321.501563,220168.8785,949504.1345,1480248.864
4817,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{03D1ECF5-F959-4665-A7E7-139A24A20467},439136.747,236206945.7,933751.3752,1480091.973
4818,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{C21C58D1-56F6-4573-88E6-30B523EA5719},13591.41229,4414836.286,949152.9673,1455857.907
4819,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{9E4C11AD-A7C1-485C-A54D-3BD7734036C6},49524.0332,5928357.363,947943.6513,1460910.766
4820,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{318474C5-7186-42E8-886C-667CE063AA3F},2627.257017,190427.7674,951549.9282,1449173.204
4821,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{BCF800B8-4762-4752-807F-FF0258A6E013},4791.469616,463679.4615,952056.678,1459102.308
4822,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{43B7F832-ADD5-4FFD-B694-E99D009EFD87},262.891826,3763.507445,953659.7944,1454396.564
4823,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{B8B91B5A-190E-465D-B500-391412B0273C},3280.792775,212549.6793,953894.5254,1453604.917
4824,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{094DA255-EC9E-41B9-8B97-71DDB8849DDD},246.615589,1931.222938,954266.5888,1453074.186
4825,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{7F0D2DB4-C5BA-4504-B22F-C425B36B2AED},192039.314,83042349.65,945223.5104,1447402.08
4826,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{32554C23-E403-46AF-96FE-9BCC6B303D58},4297.593481,585304.373,954699.4441,1463089.219
4827,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{6EEDDA8E-AF29-419B-94DB-4EAAE22166AA},1345.675041,65316.44635,957080.2217,1463713.794
4828,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{F55C932B-0C96-4F93-839C-ED95DC435033},106012.4267,38286227.5,954315.954,1470883.008
4829,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{B6CE9FC6-E97A-4114-9209-93C59D914A1E},13858.86631,2426828.874,957883.033,1462944.316
4830,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{EDFEE927-7800-4F4F-AA6D-605779D04FE9},6365.157032,657329.3873,959804.1443,1462299.235
4831,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{8A876A19-276D-47C0-986C-F201730D45A6},160.20985,93.326104,960479.8954,1462605.724
4832,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{48CAA8C8-969F-4261-ADE1-45525475C256},207.142745,831.220616,960510.728,1462461.389
4833,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{F2D91001-9EC2-4C53-98EA-105B68B5AEF4},6274.964286,675421.2732,961030.5561,1461486.927
